,Product_title,Brand,Processor,Processor_Brand,RAM(GB),OS,Storage,Screen_size(inch),Price,FLipkart_price,Amazon_price,Croma_price,Ratings
4169,HP Elitebook 840 G7 (243U7PA) Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 256 GB SSD),HP, Core i5 10th Gen ,Intel,8, Windows 10 , 256 GB SSD,14,101560,NA/OOS,NA/OOS,NA/OOS,
4170,HP Elitebook 830 G7 (243U3PA) Laptop (13.3 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),HP, Core i5 10th Gen ,Intel,8, Windows 10 , 512 GB SSD,13.3,107669,NA/OOS,NA/OOS,NA/OOS,
4171,HP Elitebook 850 G7 (244A2PA) Laptop (15.6 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 1 TB SSD),HP, Core i7 10th Gen ,Intel,16, Windows 10 , 1 TB SSD,15.6,133554,NA/OOS,NA/OOS,NA/OOS,
4172,Lenovo Thinkpad T14 (20S0S1G000) Laptop (14 Inch | Core i7 10th Gen | 16 GB | Windows 10 | 512 GB SSD),Lenovo, Core i7 10th Gen ,Intel,16, Windows 10 , 512 GB SSD,14,141990,NA/OOS,NA/OOS,NA/OOS,
4173,ASUS ROG Zephyrus Duo 15 GX550LXS-HF076TS Laptop (15.6 Inch | Core i9 10th Gen | 32 GB | Windows 10 | 2 TB SSD),ASUS, Core i9 10th Gen ,Intel,32, Windows 10 , 2 TB SSD,15.6,349990,NA/OOS,NA/OOS,NA/OOS,5
4174,HP 15-BS659TX (3FQ19PA) Laptop (15.6 Inch | Core i3 6th Gen | 8 GB | DOS | 2 TB HDD),HP, Core i3 6th Gen ,Intel,8, DOS , 2 TB HDD,15.6,37490,NA/OOS,NA/OOS,NA/OOS,4.5
4175,ASUS VivoBook 14 X409FA-EK502T Laptop (14 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 512 GB SSD),ASUS, Core i5 8th Gen ,Intel,8, Windows 10 , 512 GB SSD,14,46833,NA/OOS,NA/OOS,NA/OOS,4.5
4176,Lenovo Thinkpad E14 (20RAS0SA00) Laptop (14 Inch | Core i3 10th Gen | 4 GB | DOS | 256 GB SSD),Lenovo, Core i3 10th Gen ,Intel,4, DOS , 256 GB SSD,14,37490,NA/OOS,NA/OOS,NA/OOS,
4177,Lenovo Thinkpad E480 (20KQS1FU00) Laptop (14 Inch | Core i3 8th Gen | 4 GB | Windows 10 | 1 TB HDD),Lenovo, Core i3 8th Gen ,Intel,4, Windows 10 , 1 TB HDD,14,48999,NA/OOS,NA/OOS,NA/OOS,
4178,Lenovo Thinkpad T14 (20S0S1MA00) Laptop (14 Inch | Core i5 10th Gen | 16 GB | Windows 10 | 512 GB SSD),Lenovo, Core i5 10th Gen ,Intel,16, Windows 10 , 512 GB SSD,14,120990,NA/OOS,NA/OOS,NA/OOS,
